订单ID,日期,年,月,日,季度,商品类别,子类别,商品名称,单价,数量,折扣率,总价,顾客ID,顾客姓名,省份,城市,地址,店铺,评分,支付方式,配送时间(天)
ORD-20220817-00000,2022-08-17,2022,8,17,3,电子产品,耳机,索尼WF-1000XM4,2826.47,1,0.73,2063.32,CUST-81482,潘志强,上海市,虹口区,澳门特别行政区楠市白云徐路p座 415098,华远软件传媒有限公司电商店铺,3,货到付款,4
ORD-20240509-00001,2024-05-09,2024,5,9,2,食品,常规,食品商品58,1186.75,5,1.0,5933.75,CUST-10851,王飞,广东省,东莞市,内蒙古自治区北镇市璧山董街U座 237631,同兴万点网络有限公司电商店铺,4,银联,2
ORD-20220709-00002,2022-07-09,2022,7,9,3,运动,常规,运动商品13,730.78,2,1.0,1461.56,CUST-44671,黄秀梅,北京市,西城区,重庆市呼和浩特县怀柔南宁街i座 824731,时空盒数字网络有限公司电商店铺,3,货到付款,6
ORD-20230129-00003,2023-01-29,2023,1,29,1,服装,上衣,亚麻衬衫,1557.48,2,1.0,3114.96,CUST-40512,王洋,上海市,黄浦区,福建省永安县和平章街a座 847468,晖来计算机传媒有限公司电商店铺,4,微信支付,6
ORD-20231229-00004,2023-12-29,2023,12,29,4,食品,常规,食品商品86,548.62,1,1.0,548.62,CUST-94939,张红霞,上海市,虹口区,重庆市华市和平梧州街e座 136193,易动力传媒有限公司电商店铺,2,微信支付,8
ORD-20240217-00005,2024-02-17,2024,2,17,1,美妆,常规,美妆商品82,1382.56,1,0.78,1078.4,CUST-17331,周玉梅,江苏省,南京市,浙江省秀英县东城孙街D座 318384,毕博诚科技有限公司电商店铺,4,货到付款,6
ORD-20230312-00006,2023-03-12,2023,3,12,1,母婴,常规,母婴商品51,1771.67,1,1.0,1771.67,CUST-28726,施丽,浙江省,宁波市,河南省潜江县梁平季街q座 418244,凌云科技有限公司电商店铺,5,货到付款,7
ORD-20240328-00007,2024-03-28,2024,3,28,1,图书,常规,图书商品29,1994.71,3,0.82,4906.99,CUST-16175,张燕,上海市,静安区,湖南省西宁县上街北镇街k座 286801,易动力传媒有限公司电商店铺,3,货到付款,2
ORD-20240228-00008,2024-02-28,2024,2,28,1,运动,常规,运动商品77,1992.32,2,1.0,3984.64,CUST-82512,高洁,北京市,朝阳区,宁夏回族自治区长春县清浦张街w座 792322,时空盒数字信息有限公司电商店铺,5,银联,7
ORD-20221120-00009,2022-11-20,2022,11,20,4,母婴,常规,母婴商品1,1908.56,2,1.0,3817.12,CUST-44522,张颖,湖北省,宜昌市,福建省晨市淄川刘路t座 530365,创亿网络有限公司电商店铺,4,货到付款,4
ORD-20221110-00010,2022-11-10,2022,11,10,4,家居,灯具,智能灯,4594.91,1,0.74,3400.23,CUST-74042,米萍,北京市,朝阳区,香港特别行政区玉英市沙湾澳门街M座 255698,维涛网络有限公司电商店铺,4,货到付款,2
ORD-20220625-00011,2022-06-25,2022,6,25,2,母婴,常规,母婴商品9,1956.41,6,1.0,11738.46,CUST-26483,庄坤,广东省,东莞市,天津市伟市清浦北镇路U座 584656,商软冠联科技有限公司电商店铺,3,货到付款,7
ORD-20230310-00012,2023-03-10,2023,3,10,1,玩具,常规,玩具商品97,1465.26,3,0.78,3428.71,CUST-98039,张春梅,四川省,南充市,广东省伟县城东韦路C座 538721,兰金电子科技有限公司电商店铺,4,支付宝,6
ORD-20220213-00013,2022-02-13,2022,2,13,1,珠宝,常规,珠宝商品71,475.63,1,0.72,342.45,CUST-92719,李静,北京市,海淀区,江西省武汉市兴山邓街A座 167632,华远软件网络有限公司电商店铺,3,信用卡,4
ORD-20220928-00014,2022-09-28,2022,9,28,3,珠宝,常规,珠宝商品74,955.89,1,1.0,955.89,CUST-63354,石建平,江苏省,南京市,澳门特别行政区辉市平山佛山路N座 587277,创亿传媒有限公司电商店铺,4,信用卡,8
